sample_index,cluster,Activity
0,1,1
1,2,1
2,1,1
3,0,1
4,0,0
5,2,0
6,1,1
7,1,1
8,0,1
9,1,0
10,0,1
11,2,0
12,2,1
13,1,1
14,0,1
15,0,1
16,0,1
17,1,1
18,0,1
19,1,0
20,2,0
21,2,1
22,2,0
23,0,0
24,0,0
25,1,1
26,1,1
27,2,0
28,1,1
29,1,1
30,2,0
31,2,0
32,0,0
33,1,1
34,1,1
35,0,1
36,1,1
37,1,0
38,0,1
39,1,1
40,1,1
41,1,0
42,0,0
43,1,0
44,1,1
45,1,1
46,1,1
47,1,1
48,2,0
49,1,0
50,1,1
51,2,1
52,0,0
53,1,0
54,1,1
55,2,1
56,1,0
57,0,0
58,1,1
59,2,1
60,1,0
61,1,1
62,0,0
63,2,0
64,1,0
65,0,0
66,1,0
67,1,1
68,1,0
69,1,1
70,1,0
71,1,0
72,1,1
73,0,0
74,1,1
75,1,1
76,1,1
77,0,1
78,1,1
79,0,0
80,2,1
81,1,0
82,0,1
83,1,1
84,1,1
85,1,1
86,1,0
87,1,0
88,1,1
89,1,0
90,2,1
91,1,1
92,2,1
93,0,1
94,2,1
95,1,1
96,0,1
97,0,1
98,1,1
99,0,0
100,0,0
101,1,1
102,1,0
103,1,1
104,1,0
105,2,1
106,1,1
107,1,1
108,0,0
109,2,1
110,0,0
111,0,0
112,2,0
113,1,1
114,0,1
115,1,0
116,1,1
117,1,0
118,2,1
119,1,1
120,0,0
121,0,0
122,0,1
123,1,0
124,1,1
125,1,1
126,1,1
127,0,0
128,1,1
129,2,1
130,0,0
131,2,1
132,1,1
133,2,1
134,1,1
135,1,0
136,1,0
137,0,0
138,1,0
139,1,0
140,2,1
141,1,1
142,1,1
143,1,1
144,0,1
145,1,1
146,2,1
147,1,1
148,2,0
149,0,0
150,0,0
151,1,1
152,1,1
153,1,1
154,2,1
155,1,0
156,1,1
157,2,0
158,2,0
159,0,1
160,0,0
161,0,0
162,1,1
163,0,0
164,1,0
165,0,0
166,0,0
167,1,1
168,0,1
169,1,0
170,2,1
171,0,0
172,1,1
173,2,1
174,2,1
175,1,1
176,1,0
177,2,1
178,0,0
179,1,0
180,1,0
181,0,1
182,2,0
183,0,1
184,1,1
185,1,1
186,0,1
187,1,1
188,0,0
189,2,0
190,0,1
191,1,1
192,1,1
193,0,1
194,1,0
195,0,1
196,2,1
197,2,1
198,1,0
199,2,0
200,1,1
201,0,1
202,2,0
203,1,1
204,0,1
205,0,0
206,0,0
207,1,1
208,1,1
209,2,0
210,0,0
211,2,1
212,2,0
213,0,0
214,1,1
215,2,0
216,0,1
217,0,0
218,1,1
219,1,1
220,0,0
221,0,0
222,0,1
223,1,1
224,2,1
225,1,0
226,1,0
227,0,0
228,2,1
229,2,1
230,0,0
231,2,1
232,1,1
233,0,1
234,1,0
235,1,1
236,2,1
237,1,0
238,1,1
239,2,0
240,1,1
241,1,0
242,1,0
243,2,0
244,0,0
245,0,1
246,1,0
247,2,1
248,2,0
249,2,0
250,1,1
251,0,1
252,0,0
253,1,0
254,2,1
255,0,1
256,2,0
257,0,1
258,1,1
259,2,1
260,2,1
261,0,1
262,1,1
263,0,1
264,1,0
265,2,0
266,2,0
267,1,0
268,1,1
269,0,0
270,1,1
271,1,1
272,1,0
273,2,0
274,1,1
275,1,1
276,1,1
277,0,1
278,1,1
279,0,1
280,1,0
281,0,0
282,2,1
283,1,1
284,1,1
285,2,0
286,2,1
287,1,1
288,1,0
289,1,0
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,2,1
296,1,0
297,1,1
298,0,0
299,1,1
300,1,1
301,1,0
302,1,1
303,2,1
304,1,1
305,0,0
306,2,0
307,1,0
308,1,0
309,1,1
310,2,0
311,2,1
312,2,0
313,1,0
314,0,0
315,2,1
316,2,0
317,1,1
318,2,0
319,1,1
320,1,1
321,2,0
322,1,0
323,1,1
324,1,0
325,1,0
326,0,1
327,2,1
328,1,1
329,2,0
330,1,0
331,2,1
332,1,1
333,2,1
334,0,0
335,1,0
336,1,0
337,0,1
338,0,0
339,1,1
340,2,1
341,2,0
342,1,1
343,2,0
344,1,1
345,2,0
346,1,1
347,2,1
348,0,0
349,1,1
350,1,0
351,1,0
352,1,0
353,0,1
354,2,1
355,0,0
356,1,0
357,1,0
358,2,1
359,1,1
360,0,0
361,1,1
362,1,0
363,2,1
364,1,1
365,1,1
366,0,0
367,1,1
368,2,1
369,2,1
370,1,1
371,0,0
372,1,1
373,1,1
374,0,1
375,0,0
376,1,1
377,2,1
378,0,0
379,2,1
380,0,0
381,1,0
382,1,0
383,2,0
384,0,0
385,1,1
386,1,0
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,0,0
394,1,1
395,1,0
396,0,0
397,1,0
398,2,1
399,1,0
400,1,1
401,0,1
402,0,1
403,1,1
404,1,0
405,1,1
406,1,1
407,1,0
408,1,1
409,0,0
410,1,1
411,1,1
412,1,1
413,0,0
414,0,1
415,1,0
416,1,0
417,0,1
418,1,1
419,1,1
420,2,1
421,0,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,2,1
428,1,1
429,1,1
430,0,1
431,2,1
432,0,0
433,2,0
434,1,1
435,2,1
436,1,0
437,0,0
438,1,1
439,1,1
440,1,0
