feature,dtype,is_numeric,is_binary,missing_pct,n_unique,dominant_pct,constant,quasi_constant_99,mean,std,min,median,max,zero_pct
D1,float64,True,False,0.0,24,24.180218608371103,False,False,0.07694792498053853,0.0799888301572003,0.0,0.0667,1.0,17.83524393495068
D2,float64,True,False,0.0,1768,0.6664889362836577,False,False,0.5924363672220739,0.10586027680703296,0.282127517,0.585989403,0.964380785,0.0
D3,float64,True,False,0.0,15,37.50999733404426,False,False,0.06814182884564117,0.07841419692386342,0.0,0.05,0.95,37.50999733404426
D4,float64,True,False,0.0,5,87.36336976806184,False,False,0.03898960277259397,0.11588531180382108,0.0,0.0,1.0,87.36336976806184
D5,float64,True,False,0.0,2923,0.5331911490269262,False,False,0.21211176725059985,0.10259177699080453,0.00263,0.190925788,1.0,0.0
D6,float64,True,False,0.0,3732,0.13329778725673155,False,False,0.6866533235521195,0.07870222484870315,0.137873004,0.67403673,0.994734614,0.0
D7,float64,True,False,0.0,3685,0.2932551319648094,False,False,0.2747125291090376,0.09001700448247382,0.00613,0.277844832,0.79083095,0.0
D8,float64,True,False,0.0,3272,5.385230605171954,False,False,0.4551328157544655,0.16273148040130447,0.0,0.499942025,0.989869664,0.026659557451346308
D9,float64,True,False,0.0,3741,0.10663822980538523,False,False,0.7495166287917888,0.07170221630291175,0.275589758,0.738961351,1.0,0.0
D10,float64,True,False,0.0,3692,0.15995734470807785,False,False,0.2704113643798987,0.09612806641873217,0.00304,0.284315884,1.0,0.0
D11,float64,True,False,0.0,265,22.980538523060517,False,False,0.1716875880890429,0.17719288590720983,0.0,0.127741935,1.0,22.980538523060517
D12,float64,True,False,0.0,12,34.844041588909626,False,False,0.07952879232204746,0.0863468368699618,0.0,0.0625,1.0,34.844041588909626
D13,float64,True,False,0.0,20,80.29858704345509,False,False,0.017065605732871234,0.058205293673227375,0.0,0.0,1.0,80.29858704345509
D14,float64,True,False,0.0,2390,0.5331911490269262,False,False,0.1265205852527326,0.06600790853992795,0.0,0.111939513,1.0,0.026659557451346308
D15,float64,True,False,0.0,3682,0.18661690215942417,False,False,0.5165150133401759,0.08825807618501837,0.00297,0.538590497,0.725665462,0.0
D16,float64,True,False,0.0,3166,7.517995201279659,False,False,0.2787362110357238,0.11626089996871299,0.0,0.286007633,0.980615209,0.026659557451346308
D17,float64,True,False,0.0,3749,0.053319114902692616,False,False,0.5808901428251133,0.10754300284435538,0.15582589,0.583759121,1.0,0.0
D18,float64,True,False,0.0,3212,5.758464409490802,False,False,0.19615033755291925,0.08732269922721102,0.0,0.192558782,1.0,4.398826979472141
D19,float64,True,False,0.0,2134,0.5598507064782724,False,False,0.14016397326419622,0.08434033478657421,0.0017,0.12252163,0.964093878,0.0
D20,float64,True,False,0.0,1531,1.1197014129565448,False,False,0.08201606511676887,0.07894023787788111,0.0,0.0573,0.895525528,1.1197014129565448
D21,float64,True,False,0.0,1033,0.6931484937350041,False,False,0.012048941516129032,0.015625974568907987,0.0,0.00811,0.483241492,0.07997867235403892
D22,float64,True,False,0.0,17,42.38869634764063,False,False,0.04536824661556918,0.06015595866846971,0.0,0.0345,0.896551724,42.38869634764063
D23,int64,True,True,0.0,2,96.64089576113037,False,False,0.9664089576113036,0.18019806041059322,0.0,1.0,1.0,3.3591042388696346
D24,float64,True,False,0.0,5,84.27086110370567,False,False,0.05185283924286857,0.13787880936267866,0.0,0.0,1.0,84.27086110370567
D25,float64,True,False,0.0,2943,0.13329778725673155,False,False,0.4934078704881365,0.07570243573525581,0.0,0.488761253,0.966400018,0.026659557451346308
D26,float64,True,False,0.0,3280,0.23993601706211676,False,False,0.742170980015196,0.11294593884223372,0.0716,0.759480241,1.0,0.0
D27,int64,True,True,0.0,2,52.066115702479344,False,False,0.5206611570247934,0.499639539489708,0.0,1.0,1.0,47.93388429752066
D28,int64,True,True,0.0,2,89.06958144494801,False,False,0.8906958144494801,0.31206208097077387,0.0,1.0,1.0,10.930418555051986
D29,float64,True,False,0.0,7,74.88669688083178,False,False,0.06993690573766996,0.1454371663224288,0.0,0.0,1.0,74.88669688083178
D30,float64,True,False,0.0,3671,0.39989336177019463,False,False,0.28270891672887233,0.13513914842777963,0.03,0.25523627,1.0,0.0
D31,float64,True,False,0.0,1325,9.944014929352173,False,False,0.10977540886856839,0.10594648985324263,0.0,0.0856,1.0,9.944014929352173
D32,float64,True,False,0.0,1141,6.318315115969075,False,False,0.09708349204078912,0.06871359831147034,0.0,0.0893,0.817857323,6.318315115969075
D33,float64,True,False,0.0,387,47.88056518261797,False,False,0.05837715984617435,0.08633136194593338,0.0,0.0248,0.802000907,47.88056518261797
