feature,is_binary,feature_mean,feature_std,zero_fraction,nonzero_fraction,one_fraction,n_unique,is_sparse,feature_type
D1,False,0.07694792498053853,0.07997816711240759,0.1783524393495068,0.8216475606504932,0.00026659557451346307,24,False,numeric
D2,False,0.5924363672220739,0.10584616492577223,0.0,1.0,0.0,1768,False,numeric
D3,False,0.06814182884564117,0.07840374378818758,0.37509997334044254,0.6249000266595575,0.0,15,False,numeric
D4,False,0.03898960277259397,0.11586986351850233,0.8736336976806185,0.1263663023193815,0.003199146894161557,5,False,numeric
D5,False,0.21211176725059985,0.10257810082237867,0.0,1.0,0.00026659557451346307,2923,False,numeric
D6,False,0.6866533235521195,0.07869173331698304,0.0,1.0,0.0,3732,False,numeric
D7,False,0.2747125291090376,0.09000500461512964,0.0,1.0,0.0,3685,False,numeric
D8,False,0.4551328157544655,0.16270978720912632,0.00026659557451346307,0.9997334044254865,0.0,3272,False,numeric
D9,False,0.7495166287917888,0.071692657919039,0.0,1.0,0.00026659557451346307,3741,False,numeric
D10,False,0.2704113643798987,0.09611525190605527,0.0,1.0,0.00026659557451346307,3692,False,numeric
D11,False,0.1716875880890429,0.1771692649131827,0.22980538523060517,0.7701946147693949,0.00026659557451346307,265,False,numeric
D12,False,0.07952879232204746,0.08633532626044987,0.34844041588909624,0.6515595841109038,0.00026659557451346307,12,False,numeric
D13,False,0.017065605732871234,0.05819753451920061,0.8029858704345508,0.19701412956544923,0.0005331911490269261,20,False,numeric
D14,False,0.1265205852527326,0.06599910924527579,0.00026659557451346307,0.9997334044254865,0.00026659557451346307,2390,False,numeric
D15,False,0.5165150133401759,0.08824631079455285,0.0,1.0,0.0,3682,False,numeric
D16,False,0.2787362110357238,0.1162454016149857,0.00026659557451346307,0.9997334044254865,0.0,3166,False,numeric
D17,False,0.5808901428251133,0.10752866664448572,0.0,1.0,0.00026659557451346307,3749,False,numeric
D18,False,0.19615033755291925,0.08731105852873536,0.04398826979472141,0.9560117302052786,0.00026659557451346307,3212,False,numeric
D19,False,0.14016397326419622,0.08432909165717857,0.0,1.0,0.0,2134,False,numeric
D20,False,0.08201606511676887,0.07892971461743604,0.011197014129565449,0.9888029858704346,0.0,1531,False,numeric
D21,False,0.012048941516129032,0.01562389152223221,0.0007997867235403892,0.9992002132764596,0.0,1033,False,numeric
D22,False,0.04536824661556918,0.06014793947778308,0.4238869634764063,0.5761130365235937,0.0,17,False,numeric
