feature,correlation_with_target,abs_correlation_with_target
D27,0.47233991740609665,0.47233991740609665
D469,0.2686011740082205,0.2686011740082205
D217,-0.23338670159540886,0.23338670159540886
D182,0.22866406253310595,0.22866406253310595
D747,0.22646770948706466,0.22646770948706466
D659,0.22604857599216077,0.22604857599216077
D87,-0.2230814621520745,0.2230814621520745
D146,0.21331140537635684,0.21331140537635684
D607,0.2102698008720763,0.2102698008720763
D209,0.21015391892930738,0.21015391892930738
D660,0.20486406394013096,0.20486406394013096
D596,0.20409192662049155,0.20409192662049155
D595,0.19873662149551907,0.19873662149551907
D187,-0.19859037302598317,0.19859037302598317
D979,0.19830059012751472,0.19830059012751472
D158,-0.1977211994723314,0.1977211994723314
D1036,0.19379247695193216,0.19379247695193216
D1087,0.19005366440836663,0.19005366440836663
D83,0.18494479325273347,0.18494479325273347
D60,-0.18018480494289085,0.18018480494289085
D64,0.18009360680148911,0.18009360680148911
D10,0.17909610587337113,0.17909610587337113
D739,0.17884585079315143,0.17884585079315143
D177,0.17624196308936046,0.17624196308936046
D1061,0.17623437692502417,0.17623437692502417
D959,0.17614894689826596,0.17614894689826596
D61,-0.1745879970238603,0.1745879970238603
D78,0.17232595281110102,0.17232595281110102
D8,0.17222572832007219,0.17222572832007219
D173,-0.16929958489558453,0.16929958489558453
D3,0.16720919469606038,0.16720919469606038
D175,-0.16260664737804087,0.16260664737804087
D88,0.162337918317931,0.162337918317931
D1169,0.15806876960907046,0.15806876960907046
D196,0.15524926588675733,0.15524926588675733
D1004,0.1550163654812651,0.1550163654812651
D622,0.15450980583997911,0.15450980583997911
D129,-0.15347749385957052,0.15347749385957052
D1281,0.15280749941925276,0.15280749941925276
D103,-0.15192244404409005,0.15192244404409005
D106,0.15042549026864827,0.15042549026864827
D1196,0.14848611385700186,0.14848611385700186
D5,-0.14844668324496088,0.14844668324496088
D1002,0.148020224307967,0.148020224307967
D1083,0.1466797945449768,0.1466797945449768
D52,-0.14511571291460756,0.14511571291460756
D688,0.14418284099594925,0.14418284099594925
D66,0.14266353613570942,0.14266353613570942
D995,0.14239695572592745,0.14239695572592745
D20,-0.14174031206729026,0.14174031206729026
D1089,0.14167856454391636,0.14167856454391636
D100,0.14129347487800842,0.14129347487800842
D117,-0.14077106745682708,0.14077106745682708
D1309,0.1401724991338954,0.1401724991338954
D133,-0.14002218833226474,0.14002218833226474
D136,-0.13880872981302228,0.13880872981302228
D85,-0.13878947497187052,0.13878947497187052
D954,-0.13812885279707748,0.13812885279707748
D7,0.13701550774670637,0.13701550774670637
D309,-0.13520772427041647,0.13520772427041647
D229,-0.13442556351862914,0.13442556351862914
D951,-0.13435441129521866,0.13435441129521866
D237,0.13431326048249298,0.13431326048249298
D201,-0.13330642674032497,0.13330642674032497
D163,-0.13265455597820844,0.13265455597820844
D1066,0.13259484484903775,0.13259484484903775
D1143,0.1318785723599952,0.1318785723599952
D1155,0.1316222719098197,0.1316222719098197
D204,0.13088087924773348,0.13088087924773348
D101,-0.130394368521908,0.130394368521908
D26,-0.12946957615674687,0.12946957615674687
D844,-0.12820855247019233,0.12820855247019233
D131,0.12817027635295433,0.12817027635295433
D993,-0.12797022289218588,0.12797022289218588
D200,0.1278536312716593,0.1278536312716593
D1106,0.1260003569157626,0.1260003569157626
D31,-0.12526450592133084,0.12526450592133084
D1434,0.12521002819171673,0.12521002819171673
D1390,0.12487747016974352,0.12487747016974352
D1168,0.12430802938290383,0.12430802938290383
D1125,0.12414102465189794,0.12414102465189794
D18,0.12378709708473705,0.12378709708473705
D597,0.12324685804408286,0.12324685804408286
D947,-0.12272070975071982,0.12272070975071982
D969,0.12258045397649184,0.12258045397649184
D449,-0.1214607405229075,0.1214607405229075
D194,-0.1209773957634968,0.1209773957634968
D310,-0.12081816190117305,0.12081816190117305
D996,-0.12060304683996781,0.12060304683996781
D108,-0.11965326709199461,0.11965326709199461
D1005,0.11934081643630803,0.11934081643630803
D1180,0.11894336291741828,0.11894336291741828
D43,0.11872871744415919,0.11872871744415919
D70,0.11846209779692837,0.11846209779692837
D978,0.11763484907982764,0.11763484907982764
D1341,0.11726729466172847,0.11726729466172847
D162,0.11721313465038723,0.11721313465038723
D311,-0.11695938575430641,0.11695938575430641
D480,0.11656476569726378,0.11656476569726378
D685,0.11637068309573638,0.11637068309573638
D961,0.11610341639658354,0.11610341639658354
D624,0.11558239749948106,0.11558239749948106
D149,-0.11503009520134312,0.11503009520134312
D687,0.11484672360470684,0.11484672360470684
D1001,0.11483639938674034,0.11483639938674034
D1164,0.11452931248007636,0.11452931248007636
D649,-0.11412206850722113,0.11412206850722113
D11,-0.1134183583504926,0.1134183583504926
D1109,0.11193495605805175,0.11193495605805175
D967,-0.11093667475455886,0.11093667475455886
D214,0.1108720634275922,0.1108720634275922
D56,0.11077373183930626,0.11077373183930626
D1338,0.11074860363696165,0.11074860363696165
D440,0.11058162404168488,0.11058162404168488
D96,-0.11056561321878138,0.11056561321878138
D97,-0.10961723772436442,0.10961723772436442
D426,0.10958255920033663,0.10958255920033663
D2,0.1092264653916949,0.1092264653916949
D458,0.10868851032211167,0.10868851032211167
D842,-0.10817002955598971,0.10817002955598971
