feature,dtype,is_numeric,is_binary_01,missing_count,missing_pct,n_unique,unique_ratio,dominant_value_pct,constant,quasi_constant_99,quasi_constant_995,mean,std,variance,min,q1,median,q3,max,skewness,zero_pct,one_pct,outlier_iqr_count,outlier_iqr_pct
D1,float64,True,False,0,0.0,24,0.006398293788323114,24.180218608371103,False,False,False,0.07694792498053853,0.0799888301572003,0.006398212949917438,0.0,0.0333,0.0667,0.1,1.0,3.1964262764989972,17.83524393495068,0.026659557451346308,155.0,4.132231404958678
D2,float64,True,False,0,0.0,1768,0.4713409757398027,0.6664889362836577,False,False,False,0.5924363672220739,0.10586027680703296,0.01120639820566164,0.282127517,0.51781076,0.585989403,0.668395293,0.964380785,0.1696741498446866,0.0,0.0,9.0,0.23993601706211676
D3,float64,True,False,0,0.0,15,0.0039989336177019465,37.50999733404426,False,False,False,0.06814182884564117,0.07841419692386342,0.006148786279214431,0.0,0.0,0.05,0.1,0.95,1.9596454153541707,37.50999733404426,0.0,76.0,2.0261263663023192
D4,float64,True,False,0,0.0,5,0.0013329778725673154,87.36336976806184,False,False,False,0.03898960277259397,0.11588531180382108,0.013429405491868834,0.0,0.0,0.0,0.0,1.0,3.942541606326052,87.36336976806184,0.3199146894161557,0.0,0.0
D5,float64,True,False,0,0.0,2923,0.7792588643028526,0.5331911490269262,False,False,False,0.21211176725059985,0.10259177699080453,0.01052507270613097,0.00263,0.1381176,0.190925788,0.26172564,1.0,1.518982697499118,0.0,0.026659557451346308,131.0,3.492402026126366
D6,float64,True,False,0,0.0,3732,0.9949346840842442,0.13329778725673155,False,False,False,0.6866533235521195,0.07870222484870315,0.006194040196135827,0.137873004,0.6256269704999999,0.67403673,0.7406633060000001,0.994734614,0.3333215728155927,0.0,0.0,11.0,0.2932551319648094
D7,float64,True,False,0,0.0,3685,0.9824046920821115,0.2932551319648094,False,False,False,0.2747125291090376,0.09001700448247382,0.008103061095997713,0.00613,0.20737389499999997,0.277844832,0.3358155355,0.79083095,0.10099479456793561,0.0,0.0,8.0,0.21327645961077046
D8,float64,True,False,0,0.0,3272,0.8723007198080512,5.385230605171954,False,False,False,0.4551328157544655,0.16273148040130447,0.026481534713600142,0.0,0.3780616015,0.499942025,0.5699619605,0.989869664,-0.8701572004409397,0.026659557451346308,0.0,252.0,6.718208477739269
D9,float64,True,False,0,0.0,3741,0.9973340442548654,0.10663822980538523,False,False,False,0.7495166287917888,0.07170221630291175,0.005141207822749544,0.275589758,0.7073393735,0.738961351,0.788177061,1.0,0.07252289565175776,0.0,0.026659557451346308,153.0,4.078912290055985
D10,float64,True,False,0,0.0,3692,0.9842708611037057,0.15995734470807785,False,False,False,0.2704113643798987,0.09612806641873217,0.009240605153404184,0.00304,0.194357112,0.284315884,0.34462574300000004,1.0,-0.1773571988732386,0.0,0.026659557451346308,2.0,0.053319114902692616
D11,float64,True,False,0,0.0,265,0.07064782724606772,22.980538523060517,False,False,False,0.1716875880890429,0.17719288590720983,0.03139731881612548,0.0,0.0409,0.127741935,0.236559137,1.0,1.5505337722230994,22.980538523060517,0.026659557451346308,238.0,6.344974673420421
