column_cluster,representative_rank,feature,feature_index,distance_to_cluster_centroid,feature_type,zero_fraction,mean,std
0,1,D159,157,0.04446082656755675,numeric,0.46680885097307384,0.03152855840655825,0.04073748933857462
0,2,D21,20,0.04900053149990512,numeric,0.0007997867235403892,0.012048941516129032,0.01562389152223221
0,3,D86,84,0.049082795146232476,numeric,0.04798720341242335,0.05145306724580113,0.05571993800834526
0,4,D441,351,0.05071438570877789,numeric,0.5539856038389763,0.031276992801919486,0.05282371401738987
0,5,D34,33,0.05083380823312623,numeric,0.6520927752599307,0.025528888848573718,0.04830952593205942
0,6,D928,681,0.05188380112928352,numeric,0.8136496934150893,0.011001099388696346,0.03922142370100033
0,7,D22,21,0.05219521220924291,numeric,0.4238869634764063,0.04536824661556918,0.06014793947778308
0,8,D741,567,0.052379899308184555,numeric,0.5987736603572381,0.030496591054385496,0.0583278156089381
0,9,D444,354,0.05324563502686478,numeric,0.743268461743535,0.01846734625219941,0.05002213721072863
0,10,D765,587,0.054156902244353405,numeric,0.8365769128232471,0.010709817732604638,0.0357592266888702
0,11,D665,517,0.05419777093787946,numeric,0.9264196214342842,0.005794134173553719,0.026756750693044177
0,12,D742,568,0.05420112689399682,numeric,0.8299120234604106,0.012397023013063183,0.044719938399154946
0,13,D698,543,0.05439375851078374,numeric,0.8347107438016529,0.011343455080778459,0.035800151441817835
0,14,D477,385,0.054770903024578835,numeric,0.9168221807517996,0.0069873405203945615,0.035268744707611044
0,15,D442,352,0.05479943680141936,numeric,0.7198080511863503,0.0164387896566249,0.044407144029335335
1,1,D1366,1116,0.21150782034897989,binary,0.7595307917888563,0.2404692082111437,0.42736842198909514
1,2,D1406,1156,0.21532183527730844,binary,0.765662490002666,0.23433750999733405,0.4235840429071702
1,3,D1299,1049,0.21944457743886361,binary,0.7709944014929352,0.22900559850706478,0.42019285377013
1,4,D1337,1087,0.22010271949001414,binary,0.754732071447614,0.24526792855238602,0.4302459433579911
1,5,D1385,1135,0.220167137325785,binary,0.7704612103439082,0.2295387896560917,0.42053624540496887
1,6,D1241,991,0.22111832710549598,binary,0.7832577979205545,0.21674220207944547,0.41202550881856614
