feature,is_binary,zero_fraction
D1,False,0.1783524393495068
D2,False,0.0
D3,False,0.37509997334044254
D4,False,0.8736336976806185
D5,False,0.0
D6,False,0.0
D7,False,0.0
D8,False,0.00026659557451346307
D9,False,0.0
D10,False,0.0
D11,False,0.22980538523060517
D12,False,0.34844041588909624
D13,False,0.8029858704345508
D14,False,0.00026659557451346307
D15,False,0.0
D16,False,0.00026659557451346307
D17,False,0.0
D18,False,0.04398826979472141
D19,False,0.0
D20,False,0.011197014129565449
D21,False,0.0007997867235403892
D22,False,0.4238869634764063
D23,True,0.03359104238869635
D24,False,0.8427086110370567
D25,False,0.00026659557451346307
D26,False,0.0
D29,False,0.7488669688083178
D30,False,0.0
D31,False,0.09944014929352173
D32,False,0.06318315115969075
D33,False,0.4788056518261797
D34,False,0.6520927752599307
D35,False,0.5675819781391629
D36,False,0.6502266062383364
D37,False,0.8643028525726473
D38,False,0.119168221807518
D39,False,0.2316715542521994
D40,False,0.8224473473740336
D41,False,0.8880298587043455
D42,False,0.819248200479872
D43,False,0.37723273793655027
D44,False,0.33964276193015197
D45,False,0.1018395094641429
D46,False,0.0007997867235403892
D47,False,0.0005331911490269261
D48,False,0.10797120767795254
D49,False,0.3308451079712077
D50,False,0.006398293788323114
D53,False,0.4356171687549987
D54,False,0.2921887496667555
D55,False,0.46920821114369504
D56,False,0.4702745934417489
D57,False,0.440415889096241
D58,False,0.5611836843508398
D59,False,0.8864302852572647
D60,False,0.6614236203679019
D61,False,0.1279658757664623
D62,False,0.3617701946147694
D63,False,0.41828845641162354
D64,False,0.46920821114369504
D65,False,0.23487070114636097
D66,False,0.4129565449213543
D67,False,0.12183417755265262
D68,False,0.40015995734470805
D69,False,0.07384697414022927
D70,False,0.0007997867235403892
D71,False,0.3444414822713943
D73,False,0.7091442282058118
D74,False,0.005865102639296188
D75,False,0.32071447613969606
D76,False,0.13543055185283925
D77,False,0.4662756598240469
D78,False,0.16368968275126633
D79,False,0.0
D80,False,0.34310850439882695
D81,False,0.9341508930951746
D82,False,0.7307384697414023
D83,False,0.22767262063449747
D84,False,0.04158890962410024
D85,False,0.8357771260997068
D86,False,0.04798720341242335
D87,False,0.00026659557451346307
D88,False,0.00026659557451346307
D89,False,0.0
D90,False,0.0
D91,False,0.00026659557451346307
D92,False,0.3460410557184751
D93,False,0.3950946414289523
D95,False,0.0007997867235403892
D96,False,0.051452945881098375
D97,False,0.6939482804585444
D98,False,0.9346840842442016
D99,False,0.0015995734470807784
D100,False,0.0005331911490269261
D101,False,0.0005331911490269261
D102,False,0.0
D103,False,0.00026659557451346307
D104,False,0.006664889362836577
D105,False,0.0
D106,False,0.006664889362836577
D107,False,0.00026659557451346307
D108,False,0.800853105838443
D109,False,0.8869634764062917
D110,False,0.8552386030391895
D111,False,0.9272194081578246
D112,False,0.9192215409224207
D113,False,0.9549453479072247
D114,False,0.9472140762463344
D115,False,0.9661423620367902
D116,False,0.9789389496134364
D118,False,0.8869634764062917
D119,False,0.8552386030391895
D120,False,0.9272194081578246
D121,False,0.9192215409224207
D122,False,0.9549453479072247
D123,False,0.9472140762463344
D124,False,0.9661423620367902
D125,False,0.9789389496134364
D126,False,0.022394028259130897
D127,False,0.5777126099706745
D128,False,0.17728605705145295
D129,False,0.8496400959744068
D130,False,0.12023460410557185
D131,False,0.07464676086376966
D132,False,0.8933617701946148
D133,False,0.86990135963743
D134,False,0.9762729938683018
D135,False,0.5275926419621434
D136,False,0.31804852039456144
D137,False,0.3324446814182885
D138,False,0.9546787523327113
D139,False,0.10077312716608905
D140,False,0.9058917621967475
D141,False,0.9181551586243668
D142,False,0.19514796054385497
D143,False,0.37056784857371367
D144,False,0.942415355905092
D145,False,0.144494801386297
D146,False,0.20261263663023193
D147,False,0.9077579312183418
D148,False,0.9800053319114903
D149,False,0.653425753132498
D150,False,0.24100239936017062
D151,False,0.34710743801652894
D152,False,0.13463076512929886
D153,False,0.9200213276459611
D154,False,0.9109570781125034
D155,False,0.6523593708344442
D156,False,0.8432418021860837
D157,False,0.8184484137563316
D158,False,0.4878699013596374
D159,False,0.46680885097307384
D160,False,0.6888829645427886
D161,False,0.5793121834177553
D162,False,0.2708611037056785
D163,False,0.8781658224473474
D164,False,0.8856304985337243
D165,False,0.8571047720607838
D166,False,0.8523060517195414
D167,False,0.418555051986137
D168,False,0.6918155158624367
D169,False,0.9536123700346574
D170,True,0.9834710743801653
D172,False,0.9333511063716342
D173,False,0.4660090642495335
D174,False,0.9640095974406825
D175,False,0.0
D177,False,0.0
D178,False,0.0
D180,False,0.0
D181,False,0.0
D182,False,0.00026659557451346307
D183,False,0.00026659557451346307
D185,False,0.8091175686483605
D186,False,0.0
D187,False,0.00026659557451346307
D189,False,0.0
D190,False,0.00026659557451346307
D191,False,0.852039456145028
D192,False,0.9618768328445748
D197,False,0.9333511063716342
D198,False,0.4878699013596374
D202,False,0.00026659557451346307
D203,False,0.00026659557451346307
D205,False,0.0
D206,False,0.9749400159957344
D207,False,0.00026659557451346307
D208,False,0.0
D209,False,0.00026659557451346307
D210,False,0.00026659557451346307
D213,False,0.9704078912290056
D214,False,0.8856304985337243
D216,False,0.00026659557451346307
D217,False,0.00026659557451346307
D220,False,0.971207677952546
D221,False,0.00026659557451346307
D222,False,0.00026659557451346307
D224,False,0.9618768328445748
D225,False,0.9797387363369768
D226,False,0.9024260197280725
D227,False,0.8864302852572647
D228,False,0.8989602772593975
D229,False,0.9162889896027726
D231,False,0.9880031991468942
D233,False,0.0
D236,False,0.9882697947214076
D237,False,0.9626766195681151
D246,False,0.9845374566782191
D248,False,0.9784057584644095
D249,False,0.9125566515595841
D250,False,0.9834710743801653
D251,False,0.9853372434017595
D258,False,0.9762729938683018
D259,False,0.9768061850173287
D260,False,0.960277259397494
D261,False,0.9666755531858171
D262,False,0.9744068248467076
D263,False,0.9794721407624634
D264,False,0.9893361770194615
D265,False,0.985603838976273
D266,False,0.978139162889896
D267,False,0.9845374566782191
D268,False,0.9880031991468942
D270,False,0.9682751266328979
D272,False,0.9792055451879499
D273,False,0.9888029858704346
D274,False,0.9893361770194615
D278,False,0.9728072513996268
D279,False,0.981604905358571
D280,False,0.9813383097840576
D281,False,0.9802719274860038
D282,False,0.9858704345507865
D283,False,0.9874700079978672
D287,False,0.9864036256998134
D288,False,0.967741935483871
D289,False,0.978139162889896
D290,False,0.9858704345507865
D291,False,0.9837376699546787
D292,False,0.9840042655291922
D309,False,0.9026926153025859
D310,False,0.9074913356438283
D311,False,0.913089842708611
D312,False,0.9298853639029592
D313,False,0.9362836576912823
D314,False,0.9450813116502266
D315,False,0.9621434284190883
D316,False,0.9869368168488403
D317,False,0.9861370301253
D318,False,0.9680085310583845
D319,False,0.9773393761663557
D320,False,0.9848040522527326
D321,False,0.9888029858704346
D325,False,0.9682751266328979
D326,False,0.9634764062916555
D327,False,0.9760063982937883
D328,False,0.9845374566782191
D329,False,0.9866702212743268
D330,False,0.9898693681684884
D334,False,0.9013596374300187
D335,False,0.8794988003199147
D336,False,0.8866968808317782
D337,False,0.9000266595574513
D338,False,0.9077579312183418
D339,False,0.9370834444148227
D340,False,0.9570781125033324
D341,False,0.9570781125033324
D342,False,0.9730738469741402
D343,False,0.9808051186350306
D344,False,0.9864036256998134
D346,False,0.9688083177819248
D347,False,0.9805385230605171
D348,False,0.9568115169288189
D349,False,0.9645427885897094
D350,False,0.9709410823780326
D351,False,0.9730738469741402
D352,False,0.9858704345507865
D359,False,0.9050919754732072
D360,False,0.887763263129832
D361,False,0.8973607038123167
D362,False,0.9389496134364169
D363,False,0.9557451346307652
D364,False,0.9584110903758998
D365,False,0.9680085310583845
D366,False,0.9845374566782191
D367,False,0.9877366035723807
D373,False,0.6816848840309251
D374,False,0.9186883497733938
D375,False,0.906158357771261
D376,False,0.9120234604105572
D377,False,0.9218874966675553
D378,False,0.9442815249266863
D379,False,0.9698747000799787
D380,False,0.9744068248467076
D381,False,0.9786723540389229
D382,False,0.9864036256998134
D383,False,0.9898693681684884
D386,False,0.94534790722474
D387,False,0.9682751266328979
D388,False,0.920554518794988
D389,False,0.9122900559850706
D390,False,0.9192215409224207
D391,False,0.9272194081578246
D392,False,0.9520127965875766
D393,False,0.9690749133564383
D394,False,0.967208744334844
D395,False,0.9808051186350306
D396,False,0.9898693681684884
D400,False,0.9786723540389229
D409,False,0.9885363902959211
D410,False,0.9877366035723807
D415,False,0.7094108237803253
D416,False,0.707544654758731
D417,False,0.7632631298320448
D418,False,0.8101839509464143
D419,False,0.8621700879765396
D420,False,0.8936283657691282
D421,False,0.928019194881365
D422,False,0.9520127965875766
D423,False,0.9610770461210344
D424,False,0.9784057584644095
D426,False,0.8312450013329779
D427,False,0.9568115169288189
D428,False,0.9168221807517996
D429,False,0.9232204745401227
D430,False,0.9237536656891495
D431,False,0.942415355905092
D432,False,0.9565449213543055
D433,False,0.9704078912290056
D434,False,0.9752066115702479
D435,False,0.9786723540389229
D436,False,0.9832044788056519
D440,False,0.9093575046654225
D441,False,0.5539856038389763
D442,False,0.7198080511863503
D443,False,0.7411356971474273
D444,False,0.743268461743535
D445,False,0.7520661157024794
D446,False,0.8264462809917356
D447,False,0.8592375366568915
D448,False,0.9573447080778459
D449,False,0.8379098906958145
D451,False,0.9098906958144495
D452,False,0.9026926153025859
D453,False,0.9066915489202879
D454,False,0.9162889896027726
D455,False,0.9426819514796054
D456,False,0.9709410823780326
D457,False,0.6894161556918155
D458,False,0.5673153825646494
D459,False,0.7248733671021061
D460,False,0.7374033591042388
D461,False,0.852039456145028
D462,False,0.891229005598507
D463,False,0.9352172753932285
D464,False,0.9608104505465209
D465,False,0.9770727805918422
D466,False,0.9789389496134364
D467,False,0.989069581444948
D469,False,0.7246067715275927
D470,False,0.7262063449746734
D471,False,0.761663556384964
D472,False,0.7600639829378832
D473,False,0.7390029325513197
D474,False,0.8061850173287124
D475,False,0.8661690215942416
D476,False,0.8962943215142629
D477,False,0.9168221807517996
D478,False,0.9709410823780326
D479,False,0.2476672887230072
D480,False,0.942415355905092
D481,False,0.9440149293521728
D482,False,0.93148493735004
D486,False,0.9893361770194615
D491,False,0.9872034124233537
D492,False,0.9394828045854439
D493,False,0.9538789656091708
D494,False,0.9421487603305785
D495,False,0.9565449213543055
