plot_position,feature,feature_index,is_binary,feature_type,mean,std,variance,zero_fraction,nonzero_fraction,one_fraction,n_unique,is_sparse,column_cluster
0,D1022,772,True,binary,0.6318315115969075,0.482307425352414,0.2326204525500744,0.3681684884030925,0.6318315115969075,0.6318315115969075,2,False,0
1,D1176,926,True,binary,0.5793121834177553,0.4936695023611529,0.2437095775615083,0.4206878165822447,0.5793121834177553,0.5793121834177553,2,False,0
2,D1109,859,True,binary,0.5630498533724341,0.4960087862021343,0.2460247159897145,0.436950146627566,0.5630498533724341,0.5630498533724341,2,False,0
3,D1004,754,True,binary,0.5515862436683551,0.4973317398519715,0.2473388594641891,0.4484137563316449,0.5515862436683551,0.5515862436683551,2,False,0
4,D1190,940,True,binary,0.5449213543055186,0.4979779833761309,0.2479820719273581,0.4550786456944815,0.5449213543055186,0.5449213543055186,2,False,0
5,D1128,878,True,binary,0.5438549720074647,0.4980730282099448,0.2480767414302244,0.4561450279925353,0.5438549720074647,0.5438549720074647,2,False,0
6,D1096,846,True,binary,0.5131964809384164,0.4998258225530591,0.249825852890842,0.4868035190615836,0.5131964809384164,0.5131964809384164,2,False,0
7,D1159,909,True,binary,0.4998667022127432,0.4999999822316995,0.2499999822316998,0.5001332977872567,0.4998667022127432,0.4998667022127432,2,False,0
8,D1078,828,True,binary,0.4780058651026393,0.4995160237971517,0.2495162580301167,0.5219941348973607,0.4780058651026393,0.4780058651026393,2,False,0
9,D1118,868,True,binary,0.4636097040789123,0.4986739880550976,0.2486757463627756,0.5363902959210877,0.4636097040789123,0.4636097040789123,2,False,0
10,D1056,806,True,binary,0.4564116235670488,0.4980964298606639,0.2481000534399392,0.5435883764329512,0.4564116235670488,0.4564116235670488,2,False,0
11,D1125,875,True,binary,0.4486803519061583,0.4973593205314687,0.2473662937195243,0.5513196480938416,0.4486803519061583,0.4486803519061583,2,False,0
12,D1149,899,True,binary,0.4454812050119968,0.4970188135202289,0.247027700993056,0.5545187949880032,0.4454812050119968,0.4454812050119968,2,False,0
13,D1133,883,True,binary,0.4409490802452679,0.4965007440841556,0.2465129888761202,0.5590509197547321,0.4409490802452679,0.4409490802452679,2,False,0
14,D1062,812,True,binary,0.4385497200746467,0.4962094951702312,0.2462238630970957,0.5614502799253532,0.4385497200746467,0.4385497200746467,2,False,0
15,D1173,923,True,binary,0.4334844041588909,0.4955559257136396,0.2455756755099022,0.566515595841109,0.4334844041588909,0.4334844041588909,2,False,0
16,D964,714,True,binary,0.4060250599840043,0.4910893102572993,0.2411687106489899,0.5939749400159957,0.4060250599840043,0.4060250599840043,2,False,0
17,D1143,893,True,binary,0.3969608104505465,0.489267744100295,0.2393829254169917,0.6030391895494535,0.3969608104505465,0.3969608104505465,2,False,0
18,D1083,833,True,binary,0.3657691282324713,0.4816451734052043,0.2319820730645293,0.6342308717675287,0.3657691282324713,0.3657691282324713,2,False,0
19,D1094,844,True,binary,0.360970407891229,0.4802819718853381,0.2306707725180687,0.639029592108771,0.360970407891229,0.360970407891229,2,False,0
20,D1089,839,True,binary,0.3593708344441482,0.4798160457874089,0.2302234377950648,0.6406291655558518,0.3593708344441482,0.3593708344441482,2,False,0
21,D1144,894,True,binary,0.3380431884830712,0.4730433290971029,0.2237699912032699,0.6619568115169289,0.3380431884830712,0.3380431884830712,2,False,0
22,D1164,914,True,binary,0.3239136230338576,0.4679675072555119,0.2189935878469376,0.6760863769661424,0.3239136230338576,0.3239136230338576,2,False,0
23,D1197,947,True,binary,0.2873900293255132,0.4525450257927865,0.2047970003697938,0.7126099706744868,0.2873900293255132,0.2873900293255132,2,False,0
24,D1122,872,True,binary,0.0925086643561717,0.2897426640576234,0.0839508113752088,0.9074913356438284,0.0925086643561717,0.0925086643561717,2,False,1
25,D1204,954,True,binary,0.0797120767795254,0.2708469338852122,0.0733580615950205,0.9202879232204746,0.0797120767795254,0.0797120767795254,2,False,1
26,D1129,879,True,binary,0.0778459077579312,0.2679289502895774,0.0717859224032748,0.9221540922420688,0.0778459077579312,0.0778459077579312,2,False,1
27,D1085,835,True,binary,0.0514529458810983,0.2209197597347397,0.0488055402412551,0.9485470541189016,0.0514529458810983,0.0514529458810983,2,False,1
28,D1358,1108,True,binary,0.0429218874966675,0.2026810278994828,0.0410795990703909,0.9570781125033324,0.0429218874966675,0.0429218874966675,2,True,1
29,D1739,1485,True,binary,0.0405225273260463,0.1971812671253439,0.0388804521051562,0.9594774726739536,0.0405225273260463,0.0405225273260463,2,True,1
30,D1328,1078,True,binary,0.0394561450279925,0.1946775735608047,0.0378993576475225,0.9605438549720074,0.0394561450279925,0.0394561450279925,2,True,1
31,D1565,1313,True,binary,0.0394561450279925,0.1946775735608047,0.0378993576475225,0.9605438549720074,0.0394561450279925,0.0394561450279925,2,True,1
32,D1312,1062,True,binary,0.0389229538789656,0.193411368694556,0.0374079575403015,0.9610770461210344,0.0389229538789656,0.0389229538789656,2,True,1
33,D1269,1019,True,binary,0.0373233804318848,0.1895530155524349,0.0359303457050216,0.9626766195681152,0.0373233804318848,0.0373233804318848,2,True,1
34,D1596,1344,True,binary,0.0373233804318848,0.1895530155524349,0.0359303457050216,0.9626766195681152,0.0373233804318848,0.0373233804318848,2,True,1
35,D1614,1361,True,binary,0.0367901892828579,0.1882463047589231,0.0354366712553893,0.963209810717142,0.0367901892828579,0.0367901892828579,2,True,1
36,D1690,1437,True,binary,0.0359904025593175,0.1862661898545621,0.0346950934829357,0.9640095974406824,0.0359904025593175,0.0359904025593175,2,True,1
37,D1336,1086,True,binary,0.0354572114102905,0.1849324135171997,0.0341999975692965,0.9645427885897094,0.0354572114102905,0.0354572114102905,2,True,1
38,D1749,1495,True,binary,0.0354572114102905,0.1849324135171997,0.0341999975692965,0.9645427885897094,0.0354572114102905,0.0354572114102905,2,True,1
39,D1543,1291,True,binary,0.0346574246867502,0.18291060002316,0.0334562876008324,0.96534257531325,0.0346574246867502,0.0346574246867502,2,True,1
40,D1744,1490,True,binary,0.0346574246867502,0.18291060002316,0.0334562876008324,0.96534257531325,0.0346574246867502,0.0346574246867502,2,True,1
41,D1470,1219,True,binary,0.0335910423886963,0.1801740388067525,0.0324626842599371,0.9664089576113036,0.0335910423886963,0.0335910423886963,2,True,1
42,D1536,1284,True,binary,0.0319914689416155,0.1759773134712915,0.0309680148565732,0.9680085310583844,0.0319914689416155,0.0319914689416155,2,True,1
43,D1623,1370,True,binary,0.0317248733671021,0.175266670468014,0.0307184057769434,0.968275126632898,0.0317248733671021,0.0317248733671021,2,True,1
44,D1469,1218,True,binary,0.0306584910690482,0.1723906841868705,0.0297185479944173,0.9693415089309516,0.0306584910690482,0.0306584910690482,2,True,1
45,D1495,1243,True,binary,0.0301252999200213,0.1709320514846472,0.02921776622475,0.9698747000799788,0.0301252999200213,0.0301252999200213,2,True,1
46,D1513,1261,True,binary,0.0301252999200213,0.1709320514846472,0.02921776622475,0.9698747000799788,0.0301252999200213,0.0301252999200213,2,True,1
47,D1494,1242,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
48,D1605,1352,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
49,D1700,1447,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
50,D1764,1510,True,binary,0.0298587043455078,0.1701974210154649,0.0289671621203154,0.970141295654492,0.0298587043455078,0.0298587043455078,2,True,1
51,D1622,1369,True,binary,0.0295921087709944,0.1694591864416917,0.02871641586948,0.9704078912290056,0.0295921087709944,0.0295921087709944,2,True,1
52,D1224,974,True,binary,0.0293255131964809,0.1687173004532847,0.0284655274722439,0.9706744868035192,0.0293255131964809,0.0293255131964809,2,True,1
53,D1602,1349,True,binary,0.0293255131964809,0.1687173004532847,0.0284655274722439,0.9706744868035192,0.0293255131964809,0.0293255131964809,2,True,1
54,D1716,1462,True,binary,0.0293255131964809,0.1687173004532847,0.0284655274722439,0.9706744868035192,0.0293255131964809,0.0293255131964809,2,True,1
55,D1656,1403,True,binary,0.0290589176219674,0.1679717146682952,0.0282144969286071,0.9709410823780326,0.0290589176219674,0.0290589176219674,2,True,1
56,D1677,1424,True,binary,0.0290589176219674,0.1679717146682952,0.0282144969286071,0.9709410823780326,0.0290589176219674,0.0290589176219674,2,True,1
57,D1728,1474,True,binary,0.0290589176219674,0.1679717146682952,0.0282144969286071,0.9709410823780326,0.0290589176219674,0.0290589176219674,2,True,1
58,D1757,1503,True,binary,0.028792322047454,0.1672223795984548,0.0279633242385697,0.971207677952546,0.028792322047454,0.028792322047454,2,True,1
59,D1351,1101,True,binary,0.0285257264729405,0.1664692446133264,0.0277120094021315,0.9714742735270594,0.0285257264729405,0.0285257264729405,2,True,1
60,D1594,1342,True,binary,0.0285257264729405,0.1664692446133264,0.0277120094021315,0.9714742735270594,0.0285257264729405,0.0285257264729405,2,True,1
